Wall time,Step,Value
1498619444.0224187,16117,1.0656800270080566
1498619508.0855093,16250,1.0754526853561401
1498619542.7888057,16322,1.0716321468353271
1498619553.394423,16344,1.0814621448516846
1498619561.5642488,16361,1.0893397331237793
1498619583.7785673,16407,1.1080697774887085
1498619631.6197226,16506,1.0676777362823486
1498619670.5038276,16586,1.076285719871521
1498619707.1887803,16662,1.080700397491455
1498619724.6889558,16698,1.0461442470550537
1498619778.4434204,16809,1.0952688455581665
1498619778.9293475,16810,1.0841950178146362
1498619802.185403,16858,1.0895127058029175
1498619822.470003,16900,1.0620535612106323
1498619903.650852,17067,1.056823968887329
1498619918.7503893,17098,1.117838978767395
1498619935.3035035,17132,1.1398522853851318
1498619987.788113,17240,1.0468072891235352
1498620003.7354193,17273,1.1366004943847656
1498620012.4361093,17291,1.0602080821990967
1498620013.4167056,17293,1.053813099861145
1498620025.0850194,17317,1.0898629426956177
1498620025.5685904,17318,1.106887698173523
1498620027.0038192,17321,1.0543872117996216
1498620036.220052,17340,1.0965847969055176
1498620053.206727,17375,1.0959570407867432
1498620068.256827,17406,1.0639917850494385
1498620087.1886382,17445,1.0844395160675049
1498620092.0009365,17455,1.0404430627822876
1498620134.866197,17544,1.1251702308654785
1498620141.65089,17558,1.1033555269241333
1498620155.7327538,17587,1.0972086191177368
1498620159.6068935,17595,1.0707290172576904
1498620173.739403,17624,1.0771024227142334
1498620221.656738,17723,1.0822844505310059
1498620334.5369816,17954,1.0549254417419434
1498620347.9669497,17982,1.0594956874847412
1498620352.2996354,17991,1.0205402374267578
1498620382.7080414,18019,1.08318293094635
1498620399.5840223,18054,1.0361231565475464
1498620405.3903396,18066,1.0608620643615723
1498620436.3119848,18130,1.0580613613128662
1498620501.715324,18265,1.1022694110870361
1498620528.1748748,18319,1.0748027563095093
1498620593.183712,18452,1.0585017204284668
1498620593.679588,18453,1.0437469482421875
1498620662.4694023,18593,1.069223403930664
1498620721.372155,18714,1.0987099409103394
1498620724.7739792,18721,1.0575402975082397
1498620785.7586386,18846,1.0988900661468506
1498620840.311501,18959,1.0522749423980713
1498620863.2040153,19006,1.0512328147888184
1498620873.9409282,19028,1.0502238273620605
1498620884.2205937,19049,1.0578501224517822
1498620917.3748186,19117,1.0068538188934326
1498620943.0839586,19170,1.0529013872146606
1498620971.2390318,19228,1.0426191091537476
1498620992.639662,19272,1.0665603876113892
1498621116.7060485,19526,1.0516633987426758
1498621119.6811426,19532,1.0740947723388672
1498621173.290252,19641,1.0947483777999878
1498621180.112076,19655,1.0291969776153564
1498621217.7210143,19732,1.0738768577575684
1498621220.6580608,19738,1.0629624128341675
1498621262.9683363,19824,1.056376338005066
1498621274.2795057,19847,1.0960773229599
1498621308.5397995,19917,1.0298128128051758
1498621319.3714397,19939,1.0885865688323975
1498621335.5557754,19972,1.068480134010315
1498621347.402615,19996,1.0827250480651855
1498621383.7806265,20036,1.0977985858917236
1498621392.3869963,20054,1.1117116212844849
1498621395.2499914,20060,1.0793216228485107
1498621396.6833556,20063,1.073130488395691
1498621433.30619,20139,1.0975041389465332
1498621433.7952325,20140,1.062713623046875
1498621456.6815202,20187,1.0710289478302002
1498621471.8061929,20218,1.0406310558319092
1498621485.0118039,20245,1.0580674409866333
1498621486.4706285,20248,1.0363984107971191
1498621488.9221046,20253,1.0875259637832642
1498621523.4053416,20324,1.0733888149261475
1498621528.6964226,20335,1.0526549816131592
1498621552.4286675,20384,1.0514861345291138
1498621580.0180852,20441,1.0326697826385498
1498621601.7747855,20486,1.0730080604553223
1498621621.5738826,20527,1.1178040504455566
1498621627.8014946,20540,1.0492095947265625
1498621628.2861502,20541,1.0556398630142212
1498621638.8400757,20563,1.0869420766830444
1498621646.5293725,20579,1.0783895254135132
1498621700.191362,20690,1.0291200876235962
1498621710.3362908,20711,1.0501666069030762
1498621743.5543995,20780,1.0393816232681274
1498621744.987973,20783,1.0582294464111328
1498621745.4656203,20784,1.0390431880950928
1498621768.6313727,20832,1.0306940078735352
1498621780.3190546,20856,1.0494849681854248
1498621844.7350156,20988,1.0933916568756104
1498621889.4895945,21081,1.0834980010986328
1498621920.5899515,21145,1.0887091159820557
1498621952.4461098,21210,1.0158395767211914
1498621963.6341565,21233,1.082711935043335
1498622004.1810522,21317,1.0287165641784668
1498622005.6335757,21320,1.0659819841384888
1498622008.0554564,21325,1.031022548675537
1498622040.4399393,21392,1.06256103515625
1498622049.1536164,21410,1.0683282613754272
1498622085.5171711,21485,1.0632123947143555
1498622104.282205,21524,1.0488234758377075
1498622180.6199753,21682,1.0613818168640137
1498622201.6798768,21725,1.04206120967865
1498622236.4896393,21796,1.0717068910598755
1498622249.1499536,21822,1.0259779691696167
1498622259.342848,21843,1.0394587516784668
1498622262.2548413,21849,1.018601894378662
1498622355.7423637,22007,1.0254290103912354
1498622470.5160584,22246,1.0429785251617432
1498622476.7972238,22259,1.0550705194473267
1498622493.2507136,22293,1.0988845825195312
1498622511.599025,22331,1.0182709693908691
1498622525.213439,22359,1.049446702003479
1498622580.689513,22473,1.0898467302322388
1498622597.734673,22508,1.0131690502166748
1498622615.668697,22545,1.0899224281311035
1498622659.8530345,22636,1.0620086193084717
1498622723.4011803,22766,1.0686029195785522
1498622759.620365,22841,1.040321707725525
1498622803.3733058,22931,1.07965087890625
1498622804.831463,22934,1.0724456310272217
1498622876.3147461,23081,1.0109174251556396
1498622878.2682073,23085,0.9984782934188843
1498622904.6079454,23139,1.0155771970748901
1498622909.4758368,23149,1.0351548194885254
1498622926.1739106,23183,1.0654528141021729
1498622931.0618286,23193,1.0435831546783447
1498622943.8052216,23219,1.0655268430709839
1498622965.6547675,23264,1.0019099712371826
1498622976.8975303,23287,1.0302621126174927
1498623001.7952418,23338,1.032751441001892
1498623013.5219185,23362,1.0635582208633423
1498623022.7806928,23381,1.0186773538589478
1498623045.7562387,23428,1.0531830787658691
1498623100.8261049,23541,1.0249136686325073
1498623124.7973523,23590,1.0480091571807861
1498623164.4475322,23671,1.0409026145935059
1498623169.8453045,23682,1.0297261476516724
1498623179.4800475,23702,1.0394335985183716
1498623214.6825747,23775,1.0880136489868164
1498623242.2490313,23832,1.0183706283569336
1498623294.3676517,23939,1.057250738143921
1498623379.126632,24080,0.9864150285720825
1498623397.8871422,24119,1.0221645832061768
1498623411.8660288,24148,1.0586084127426147
1498623453.8494558,24235,1.0275869369506836
1498623477.0261893,24283,1.0342769622802734
1498623478.0004468,24285,1.0396215915679932
1498623496.447841,24323,1.018217921257019
1498623507.7822092,24346,1.021894097328186
1498623542.8796773,24417,1.0063573122024536
1498623611.863287,24558,1.0748186111450195
1498623643.508109,24622,1.0134679079055786
1498623690.9976134,24720,1.0434867143630981
1498623694.8479548,24728,1.0456124544143677
1498623779.8238971,24902,1.0788904428482056
1498623796.0006087,24935,1.023871660232544
1498623832.250213,25009,1.0326972007751465
1498623851.3541517,25048,1.0183218717575073
1498623893.3113484,25134,1.0937172174453735
1498623928.789023,25207,1.0383989810943604
1498623940.9614768,25232,1.0281838178634644
1498623947.299547,25245,1.0011355876922607
1498623951.7016356,25254,1.0211173295974731
1498623990.164162,25333,1.0039920806884766
1498624018.7608314,25392,1.0418905019760132
1498624073.5306506,25506,1.0627325773239136
1498624080.7351353,25521,1.0126304626464844
1498624118.677247,25600,1.0231562852859497
1498624160.3485255,25687,1.0057153701782227
1498624221.0927422,25813,0.9859155416488647
1498624238.0151181,25848,1.0335707664489746
1498624273.5080056,25922,1.0550050735473633
1498624350.3611796,26046,1.050053596496582
1498624360.4178772,26067,1.0129565000534058
1498624372.3457026,26092,1.0052306652069092
1498624403.0477324,26156,1.096878170967102
1498624409.7670267,26170,1.02138090133667
1498624469.3711202,26293,1.0063164234161377
1498624474.6818247,26304,1.0049806833267212
1498624523.3797624,26404,1.022817611694336
1498624556.0792568,26471,1.03091299533844
1498624653.034135,26671,1.0352668762207031
1498624715.040794,26798,1.0375853776931763
1498624715.538017,26799,1.060267448425293
1498624729.6726365,26828,1.064631462097168
1498624730.6366124,26830,1.0081310272216797
1498624778.7342763,26929,1.0049294233322144
1498624883.3524177,27143,1.001760721206665
1498624886.284677,27149,1.0340253114700317
1498624889.2329276,27155,1.0307968854904175
1498624891.2123601,27159,1.0301710367202759
1498624891.6997972,27160,1.063292384147644
1498624948.1640637,27275,0.9908956289291382
1498625061.1777554,27506,1.0403884649276733
1498625108.8205693,27604,1.0145275592803955
1498625113.6471565,27614,0.990361213684082
1498625117.0366035,27621,1.001474380493164
1498625125.7446747,27639,1.077583909034729
1498625175.0731032,27740,1.0391126871109009
1498625216.4674335,27826,1.0140963792800903
1498625261.092185,27917,1.036490559577942
1498625262.0702841,27919,1.0344443321228027
